"ptrid","resultid","offsetcount","moduleid","moduleoffset","offset1","offset2","offset3","offset4","offset5","offset6","offset7"
"1","0","7","54","4861504","392","32","72","368","32","1160","0"
"1","1","7","54","4865752","392","32","456","144","72","1200","0"
"1","2","7","54","4861456","392","32","840","304","72","48","0"
"1","3","7","54","4861456","392","32","840","344","392","296","0"
"1","4","7","48","65245152","936","152","328","352","2184","128","0"
"1","5","7","48","65243848","456","152","344","32","216","240","0"
"1","6","7","54","4864592","2824","24","200","128","168","336","0"
"1","7","7","54","4864688","2824","24","200","128","168","336","0"
"1","8","7","54","4864784","2824","24","200","128","168","336","0"
"1","9","7","54","4864880","2824","24","200","128","168","336","0"
"1","10","7","54","4865752","2824","152","312","32","680","928","0"
"1","11","7","54","4865752","2760","24","464","208","224","912","0"
"1","12","7","54","4861504","1576","152","200","288","152","288","0"
"1","13","7","54","4861504","1576","152","200","288","280","288","0"
"1","14","7","48","64359376","2088","24","104","32","176","112","0"
"1","15","7","48","65245200","2088","24","104","32","176","112","0"
"1","16","7","48","64359376","2088","24","104","32","208","112","0"
"1","17","7","48","65245200","2088","24","104","32","208","112","0"
"1","18","7","48","64359376","2088","24","104","32","320","112","0"
"1","19","7","48","65245200","2088","24","104","32","320","112","0"
"1","20","7","48","64359376","2088","24","104","32","352","112","0"
"1","21","7","48","65245200","2088","24","104","32","352","112","0"
"1","22","7","54","4861544","1640","152","120","64","3000","32","0"
"1","23","7","54","4861544","1640","152","120","176","3000","32","0"
"1","24","7","54","4861544","1640","152","120","208","3000","32","0"
"1","25","7","54","4861456","2152","24","712","384","312","296","0"
"1","26","7","54","4861504","2472","152","328","624","72","848","0"
"1","27","7","54","4861504","2472","152","328","624","456","1216","0"
"1","28","7","54","4861456","2472","152","328","344","1192","296","0"
"1","29","7","54","4861456","2472","152","328","384","312","296","0"
"1","30","7","54","4861504","3560","24","712","296","1464","392","0"
"1","31","7","54","4861504","3912","24","384","3056","680","48","0"
"1","32","7","54","4861504","3912","24","384","3056","1064","416","0"
"1","33","7","54","4861504","392","32","112","248","152","1280","0"
"1","34","7","54","4861504","392","128","112","440","160","1280","0"
"1","35","7","54","4865752","648","24","1216","208","224","912","0"
"1","36","7","54","4865752","744","24","1240","208","224","912","0"
"1","37","7","54","4865752","744","152","1248","208","224","912","0"
"1","38","6","54","4861472","1000","24","768","400","680","0","null"
"1","39","7","54","4861472","1000","24","768","144","72","416","0"
"1","40","7","54","4861472","1000","88","16","768","400","680","0"
"1","41","7","54","4861472","1000","88","144","776","400","680","0"
"1","42","6","54","4861472","1000","152","776","400","680","0","null"
"1","43","7","54","4861504","1736","24","88","288","152","288","0"
"1","44","7","54","4861504","1736","24","88","288","280","288","0"
"1","45","7","54","4861504","1736","152","96","288","152","288","0"
"1","46","7","54","4861504","1736","152","96","288","280","288","0"
"1","47","7","48","64359376","2024","24","88","32","176","112","0"
"1","48","7","48","65245200","2024","24","88","32","176","112","0"
"1","49","7","48","64359376","2024","24","88","32","208","112","0"
"1","50","7","48","65245200","2024","24","88","32","208","112","0"
"1","51","7","48","64359376","2024","24","88","32","320","112","0"
"1","52","7","48","65245200","2024","24","88","32","320","112","0"
"1","53","7","48","64359376","2024","24","88","32","352","112","0"
"1","54","7","48","65245200","2024","24","88","32","352","112","0"
"1","55","7","48","64359376","2024","152","96","32","176","112","0"
"1","56","7","48","65245200","2024","152","96","32","176","112","0"
"1","57","7","48","64359376","2024","152","96","32","208","112","0"
"1","58","7","48","65245200","2024","152","96","32","208","112","0"
"1","59","7","48","64359376","2024","152","96","32","320","112","0"
"1","60","7","48","65245200","2024","152","96","32","320","112","0"
"1","61","7","48","64359376","2024","152","96","32","352","112","0"
"1","62","7","48","65245200","2024","152","96","32","352","112","0"
"1","63","7","54","4861456","2120","24","704","344","1192","296","0"
"1","64","7","54","4861456","2152","24","712","344","1192","296","0"
"1","65","7","54","4865752","2568","24","416","208","224","912","0"
"1","66","7","54","4865752","2792","24","472","208","224","912","0"
"1","67","7","54","4861456","2472","24","320","384","312","296","0"
"1","68","7","54","4865752","4072","24","376","528","3144","1000","0"
"1","69","7","48","65245152","904","152","320","320","2184","128","0"
"1","70","7","48","65245152","904","152","320","352","2184","128","0"
"1","71","6","54","4861472","904","152","1216","400","680","0","null"
"1","72","7","54","4861472","904","152","1216","144","72","416","0"
"1","73","7","54","4861504","1256","152","944","936","40","1168","0"
"1","74","7","54","4861456","1608","24","1088","344","1192","296","0"
"1","75","7","54","4865752","2600","24","424","208","224","912","0"
"1","76","7","54","4865752","2760","152","472","208","224","912","0"
"1","77","7","54","4864592","2376","24","1472","760","1464","392","0"
"1","78","7","54","4864688","2376","24","1472","760","1464","392","0"
"1","79","7","54","4864784","2376","24","1472","760","1464","392","0"
"1","80","7","54","4864880","2376","24","1472","760","1464","392","0"
"1","81","7","54","4861504","584","24","776","360","680","48","0"
